Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S5-802-1309
Application version = 2.2.4.0
Flow = 149 ml/min
Timebase = 30 s
Start date = 2015/05/20
Start time = 14:05:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2015/05/20,14:05:00,905415,921092,"-1.717",149,20,0,100,
2015/05/20,14:05:30,905323,920957,"-1.712",149,20,0,100,343
2015/05/20,14:06:00,905217,920825,"-1.710",149,20,0,100,200
2015/05/20,14:06:30,905144,920729,"-1.707",149,21,0,100,180
2015/05/20,14:07:00,905024,920598,"-1.706",149,21,0,100,74
2015/05/20,14:07:30,904935,920499,"-1.705",149,21,0,100,70
2015/05/20,14:08:00,904886,920455,"-1.706",149,21,0,100,-48
2015/05/20,14:08:30,904720,920280,"-1.705",149,21,0,100,51
2015/05/20,14:09:00,904648,920198,"-1.704",149,21,0,100,73
2015/05/20,14:09:30,904496,920026,"-1.702",149,22,0,100,144
2015/05/20,14:10:00,904453,919985,"-1.703",149,22,0,100,-23
2015/05/20,14:10:30,904463,919970,"-1.700",149,22,0,100,209
2015/05/20,14:11:00,904257,919748,"-1.699",149,22,0,100,103
2015/05/20,14:11:30,904183,919659,"-1.697",149,22,0,100,114
2015/05/20,14:12:00,904119,919599,"-1.698",149,22,0,100,-42
2015/05/20,14:12:30,903994,919444,"-1.695",149,22,0,100,231
2015/05/20,14:13:00,903913,919354,"-1.694",149,22,0,100,63
2015/05/20,14:13:30,903816,919256,"-1.694",149,22,0,100,-5
2015/05/20,14:14:00,903738,919171,"-1.693",149,23,0,100,47
2015/05/20,14:14:30,903594,919008,"-1.691",149,23,0,100,137
2015/05/20,14:15:00,903661,919073,"-1.691",149,23,0,100,26
2015/05/20,14:15:30,903581,918992,"-1.691",149,23,0,100,-3
2015/05/20,14:16:00,903550,918945,"-1.689",149,23,0,100,128
2015/05/20,14:16:30,903357,918739,"-1.688",149,23,0,100,81
2015/05/20,14:17:00,903434,918795,"-1.686",149,23,0,100,185
2015/05/20,14:17:30,903344,918709,"-1.687",149,23,0,100,-46
2015/05/20,14:18:00,903291,918648,"-1.686",149,23,0,100,59
2015/05/20,14:18:30,903107,918446,"-1.684",148,23,0,100,124
2015/05/20,14:19:00,902960,918262,"-1.680",149,23,0,100,286
2015/05/20,14:19:30,902898,918183,"-1.679",149,23,0,100,132
2015/05/20,14:20:00,902854,918126,"-1.677",149,23,0,100,102
2015/05/20,14:20:30,902761,917996,"-1.674",149,24,0,100,294
2015/05/20,14:21:00,902740,917969,"-1.673",149,24,0,100,47
2015/05/20,14:21:30,902698,917920,"-1.672",149,24,0,100,52
2015/05/20,14:22:00,902630,917825,"-1.669",149,24,0,100,215
2015/05/20,14:22:30,902559,917723,"-1.666",149,24,0,100,248
2015/05/20,14:23:00,902502,917653,"-1.665",149,24,0,100,100
