"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,,,
Device ID = AE51-S5-803-1309,,,,,,,,,Cortona Café
Application version = 2.2.3.0,,,,,,,,,Pair 2 sampling - outide
Flow = 148 ml/min,,,,,,,,,1:35pm start
Timebase = 30 s,,,,,,,,,2:06pm stop
Start date = 2015/05/16,,,,,,,,,
Start time = 13:36:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/16/15,13:36:00,798162,857891,-7.217,149,25,0,92,
5/16/15,13:36:30,798167,857349,-7.153,148,26,0,92,4899
5/16/15,13:37:00,798177,857195,-7.134,149,26,0,92,1465
5/16/15,13:37:30,798102,857054,-7.126,149,26,0,92,538
5/16/15,13:38:00,798118,857014,-7.12,149,26,0,92,509
5/16/15,13:38:30,798123,856956,-7.112,149,26,0,92,564
5/16/15,13:39:00,798148,856928,-7.106,149,26,0,92,488
5/16/15,13:39:30,798141,856843,-7.097,149,26,0,89,689
5/16/15,13:40:00,798138,856770,-7.089,149,26,0,89,621
5/16/15,13:40:30,798132,856680,-7.079,149,26,0,89,744
5/16/15,13:41:00,798215,856672,-7.068,149,26,0,89,864
5/16/15,13:41:30,798258,856635,-7.058,149,26,0,89,740
5/16/15,13:42:00,798218,856532,-7.051,149,26,0,89,535
5/16/15,13:42:30,798198,856440,-7.043,149,26,0,88,628
5/16/15,13:43:00,798231,856439,-7.039,149,26,0,88,324
5/16/15,13:43:30,798226,856393,-7.034,149,26,0,88,362
5/16/15,13:44:00,798230,856333,-7.026,149,26,0,88,572
5/16/15,13:44:30,798153,856204,-7.021,149,26,0,88,413
5/16/15,13:45:00,798201,856176,-7.012,149,26,0,88,708
5/16/15,13:45:30,798208,856108,-7.003,149,26,0,88,672
5/16/15,13:46:00,798247,856089,-6.996,149,26,0,88,542
5/16/15,13:46:30,798269,856052,-6.989,149,26,0,88,540
5/16/15,13:47:00,798239,855971,-6.983,149,26,0,88,435
5/16/15,13:47:30,798256,855947,-6.978,149,26,0,87,376
5/16/15,13:48:00,798258,855888,-6.971,149,26,0,87,545
5/16/15,13:48:30,798258,855835,-6.965,149,26,0,87,472
5/16/15,13:49:00,798322,855856,-6.959,149,26,0,87,424
5/16/15,13:49:30,798287,855782,-6.955,149,26,0,87,325
5/16/15,13:50:00,798310,855627,-6.934,149,26,0,87,1601
5/16/15,13:50:30,798306,855052,-6.867,149,26,0,87,5087
5/16/15,13:51:00,798338,854967,-6.853,149,26,0,87,1064
5/16/15,13:51:30,798347,854891,-6.843,149,26,0,87,764
5/16/15,13:52:00,798407,854887,-6.835,149,26,0,87,609
5/16/15,13:52:30,798394,854813,-6.828,149,26,0,89,536
5/16/15,13:53:00,798348,854731,-6.824,149,26,0,89,292
5/16/15,13:53:30,798348,854696,-6.82,149,26,0,89,312
5/16/15,13:54:00,798357,854688,-6.818,149,26,0,89,157
5/16/15,13:54:30,798346,854641,-6.814,149,26,0,89,314
5/16/15,13:55:00,798289,854532,-6.808,149,26,0,89,428
5/16/15,13:55:30,798353,854546,-6.802,149,26,0,88,486
5/16/15,13:56:00,798364,854488,-6.794,149,26,0,88,623
5/16/15,13:56:30,798389,854461,-6.787,149,26,0,88,480
5/16/15,13:57:00,798432,854466,-6.783,149,26,0,88,366
5/16/15,13:57:30,798397,854354,-6.774,149,26,0,88,665
5/16/15,13:58:00,798422,854294,-6.764,149,26,0,88,774
5/16/15,13:58:30,798438,854260,-6.758,149,26,0,88,456
5/16/15,13:59:00,798482,854256,-6.752,149,25,0,88,456
5/16/15,13:59:30,798442,854158,-6.745,149,25,0,88,493
5/16/15,14:00:00,798527,854228,-6.743,149,25,0,88,187
5/16/15,14:00:30,798529,854191,-6.738,149,25,0,87,349
5/16/15,14:01:00,798496,854105,-6.732,149,25,0,87,453
5/16/15,14:01:30,798514,854095,-6.729,149,25,0,87,261
5/16/15,14:02:00,798510,854062,-6.726,149,25,0,87,256
5/16/15,14:02:30,798526,854060,-6.723,149,25,0,87,171
5/16/15,14:03:00,798531,854022,-6.718,149,25,0,87,387
5/16/15,14:03:30,798559,854015,-6.714,149,25,0,87,330
5/16/15,14:04:00,798527,853914,-6.706,149,25,0,87,596
5/16/15,14:04:30,798516,853789,-6.693,149,25,0,87,1011
5/16/15,14:05:00,798488,853539,-6.667,149,25,0,89,1965
5/16/15,14:05:30,798538,853449,-6.65,149,25,0,89,1281
5/16/15,14:06:00,798504,853341,-6.642,149,25,0,89,640
