"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,,,Montana Sampling 
Device ID = AE51-S5-803-1309,,,,,,,,,Pair 3 - inside
Application version = 2.2.4.0,,,,,,,,,6:44pm start
Flow = 149 ml/min,,,,,,,,,7:14pm stop
Timebase = 30 s,,,,,,,,,
Start date = 2015/05/19,,,,,,,,,
Start time = 18:45:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/19/15,18:45:00,809742,878545,-8.155,149,26,0,72,
5/19/15,18:45:30,809707,878459,-8.15,149,26,0,72,417
5/19/15,18:46:00,809701,878391,-8.143,149,26,0,72,534
5/19/15,18:46:30,809677,878314,-8.137,149,26,0,71,442
5/19/15,18:47:00,809634,878231,-8.133,149,26,0,71,316
5/19/15,18:47:30,809634,878196,-8.129,149,26,0,71,304
5/19/15,18:48:00,809603,878130,-8.125,149,26,0,74,281
5/19/15,18:48:30,809671,878174,-8.122,149,26,0,74,258
5/19/15,18:49:00,809641,878094,-8.116,149,26,0,74,412
5/19/15,18:49:30,809642,878062,-8.113,149,26,0,73,287
5/19/15,18:50:00,809615,878000,-8.109,149,26,0,73,284
5/19/15,18:50:30,809625,877973,-8.104,149,26,0,73,329
5/19/15,18:51:00,809585,877895,-8.101,149,26,0,73,301
5/19/15,18:51:30,809591,877856,-8.095,149,26,0,73,395
5/19/15,18:52:00,809547,877772,-8.091,149,26,0,73,315
5/19/15,18:52:30,809513,877708,-8.088,149,26,0,73,236
5/19/15,18:53:00,809470,877626,-8.084,149,26,0,73,307
5/19/15,18:53:30,809516,877633,-8.079,149,26,0,73,372
5/19/15,18:54:00,809490,877577,-8.076,149,26,0,73,242
5/19/15,18:54:30,809476,877531,-8.073,149,26,0,72,268
5/19/15,18:55:00,809468,877450,-8.064,149,26,0,72,628
5/19/15,18:55:30,809487,877398,-8.056,149,26,0,72,631
5/19/15,18:56:00,809543,877393,-8.049,149,26,0,72,571
5/19/15,18:56:30,809396,877171,-8.041,149,26,0,72,545
5/19/15,18:57:00,809438,877149,-8.034,149,26,0,72,587
5/19/15,18:57:30,809447,877105,-8.028,149,26,0,72,467
5/19/15,18:58:00,809459,877070,-8.022,149,26,0,72,417
5/19/15,18:58:30,809489,877053,-8.016,149,26,0,72,430
5/19/15,18:59:00,809475,876990,-8.011,149,26,0,72,416
5/19/15,18:59:30,809447,876909,-8.005,149,27,0,71,440
5/19/15,19:00:00,809428,876843,-8,149,27,0,71,395
5/19/15,19:00:30,809349,876708,-7.994,149,27,0,71,430
5/19/15,19:01:00,809378,876692,-7.989,149,27,0,74,412
5/19/15,19:01:30,809344,876331,-7.952,149,27,0,74,2820
5/19/15,19:02:00,809393,876092,-7.919,149,27,0,74,2541
5/19/15,19:02:30,809380,875821,-7.889,149,27,0,73,2236
5/19/15,19:03:00,809368,875606,-7.866,149,27,0,73,1759
5/19/15,19:03:30,809340,875425,-7.849,149,27,0,73,1312
5/19/15,19:04:00,809353,875339,-7.838,149,27,0,73,871
5/19/15,19:04:30,809262,875127,-7.825,149,27,0,73,989
5/19/15,19:05:00,809304,875093,-7.816,149,27,0,73,692
5/19/15,19:05:30,809323,875027,-7.806,149,27,0,73,754
5/19/15,19:06:00,809310,874922,-7.795,149,27,0,73,792
5/19/15,19:06:30,809320,874841,-7.785,149,27,0,73,800
5/19/15,19:07:00,809327,874761,-7.775,149,27,0,73,763
5/19/15,19:07:30,809276,874607,-7.763,149,27,0,72,862
5/19/15,19:08:00,809253,874499,-7.754,149,27,0,72,725
5/19/15,19:08:30,809216,874349,-7.741,149,27,0,72,959
5/19/15,19:09:00,809233,874280,-7.731,149,27,0,72,762
5/19/15,19:09:30,809222,874193,-7.723,149,27,0,72,655
5/19/15,19:10:00,809218,874131,-7.716,149,27,0,72,503
5/19/15,19:10:30,809205,874070,-7.711,149,27,0,72,410
5/19/15,19:11:00,809170,873976,-7.704,149,27,0,72,490
5/19/15,19:11:30,809190,873941,-7.698,149,27,0,72,494
5/19/15,19:12:00,809208,873907,-7.692,149,27,0,72,466
5/19/15,19:12:30,809153,873783,-7.684,149,27,0,71,564
5/19/15,19:13:00,809165,873723,-7.676,149,27,0,71,637
5/19/15,19:13:30,809144,873634,-7.668,149,27,0,71,579
5/19/15,19:14:00,809154,873585,-7.662,149,27,0,71,522
5/19/15,19:14:30,809074,873433,-7.654,149,27,0,69,573
5/19/15,19:15:00,809119,873416,-7.647,149,27,0,68,572
