Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S5-802-1309
Application version = 2.2.4.0
Flow = 149 ml/min
Timebase = 30 s
Start date = 2015/05/22
Start time = 13:53:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2015/05/22,13:53:00,900246,913046,"-1.412",149,20,0,100,
2015/05/22,13:53:30,904040,916822,"-1.404",149,21,0,100,598
2015/05/22,13:54:00,903937,916729,"-1.405",149,21,0,100,-95
2015/05/22,13:54:30,903782,916454,"-1.392",149,21,0,100,980
2015/05/22,13:55:00,903723,916507,"-1.405",149,21,0,100,-939
2015/05/22,13:55:30,903587,916337,"-1.401",149,21,0,100,267
2015/05/22,13:56:00,903468,916228,"-1.402",149,21,0,100,-97
2015/05/22,13:56:30,903354,916145,"-1.406",149,22,0,100,-271
2015/05/22,13:57:00,903280,916117,"-1.411",149,22,0,100,-392
2015/05/22,13:57:30,903171,916027,"-1.413",149,22,0,100,-171
2015/05/22,13:58:00,903058,915929,"-1.415",149,22,0,100,-138
2015/05/22,13:58:30,902962,915885,"-1.421",149,22,0,100,-444
2015/05/22,13:59:00,902875,915803,"-1.422",149,22,0,100,-52
2015/05/22,13:59:30,902727,915654,"-1.422",149,22,0,100,-9
2015/05/22,14:00:00,902635,915604,"-1.427",149,22,0,100,-361
2015/05/22,14:00:30,902562,915553,"-1.429",149,22,0,100,-192
2015/05/22,14:01:00,902498,915507,"-1.431",149,23,0,100,-158
2015/05/22,14:01:30,902404,915441,"-1.434",149,23,0,100,-244
2015/05/22,14:02:00,902354,915426,"-1.438",149,23,0,100,-298
2015/05/22,14:02:30,902224,915279,"-1.437",149,23,0,100,126
2015/05/22,14:03:00,902135,915225,"-1.441",149,23,0,100,-302
2015/05/22,14:03:30,902078,915194,"-1.444",149,23,0,100,-223
2015/05/22,14:04:00,902000,915140,"-1.446",149,23,0,100,-209
2015/05/22,14:04:30,901898,915054,"-1.448",149,23,0,100,-146
2015/05/22,14:05:00,901831,914991,"-1.449",149,23,0,100,-41
2015/05/22,14:05:30,901714,914880,"-1.450",149,23,0,100,-64
2015/05/22,14:06:00,901709,914901,"-1.452",149,23,0,100,-217
2015/05/22,14:06:30,901614,914832,"-1.455",149,23,0,100,-228
2015/05/22,14:07:00,901540,914763,"-1.456",149,23,0,100,-51
2015/05/22,14:07:30,901476,914715,"-1.458",149,24,0,100,-141
2015/05/22,14:08:00,901372,914632,"-1.460",149,24,0,100,-188
