Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S5-802-1309
Application version = 2.2.4.0
Flow = 149 ml/min
Timebase = 30 s
Start date = 2015/05/19
Start time = 14:27:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2015/05/19,14:27:00,904494,923297,"-2.058",149,26,0,100,
2015/05/19,14:27:30,904493,923294,"-2.057",149,26,0,100,16
2015/05/19,14:28:00,904424,923196,"-2.054",149,26,0,100,228
2015/05/19,14:28:30,904265,922921,"-2.042",149,26,0,100,931
2015/05/19,14:29:00,904239,922788,"-2.031",150,26,0,100,874
2015/05/19,14:29:30,904173,922685,"-2.027",149,26,0,100,295
2015/05/19,14:30:00,904132,922605,"-2.023",150,26,0,100,313
2015/05/19,14:30:30,904101,922539,"-2.019",150,26,0,100,282
2015/05/19,14:31:00,904070,922490,"-2.017",149,26,0,100,144
2015/05/19,14:31:30,904099,922490,"-2.014",149,26,0,100,245
2015/05/19,14:32:00,904061,922436,"-2.012",150,26,0,100,125
2015/05/19,14:32:30,903996,922151,"-1.988",148,27,0,100,1820
2015/05/19,14:33:00,903909,922059,"-1.988",149,27,0,100,27
2015/05/19,14:33:30,903817,921949,"-1.986",148,27,0,100,134
2015/05/19,14:34:00,903740,921869,"-1.986",149,27,0,100,12
2015/05/19,14:34:30,903687,921799,"-1.984",149,27,0,100,132
2015/05/19,14:35:00,903616,921689,"-1.980",149,28,0,100,311
2015/05/19,14:35:30,903527,921571,"-1.977",150,28,0,100,224
2015/05/19,14:36:00,903438,921487,"-1.978",149,28,0,100,-56
2015/05/19,14:36:30,903200,921217,"-1.975",149,28,0,100,225
2015/05/19,14:37:00,903010,920945,"-1.967",149,29,0,100,647
2015/05/19,14:37:30,902706,920571,"-1.960",149,29,0,100,530
2015/05/19,14:38:00,902350,920129,"-1.951",149,29,0,100,654
2015/05/19,14:38:30,902136,919808,"-1.940",149,30,0,100,852
2015/05/19,14:39:00,902246,919873,"-1.935",149,30,0,100,391
2015/05/19,14:39:30,902211,919795,"-1.930",149,30,0,100,351
2015/05/19,14:40:00,902218,919801,"-1.930",149,30,0,100,9
2015/05/19,14:40:30,902238,919851,"-1.933",149,30,0,100,-245
2015/05/19,14:41:00,902079,919614,"-1.925",149,31,0,100,621
2015/05/19,14:41:30,902023,919525,"-1.922",149,31,0,100,265
2015/05/19,14:42:00,901991,919407,"-1.912",149,31,0,100,708
2015/05/19,14:42:30,901835,919122,"-1.899",149,31,0,100,1045
2015/05/19,14:43:00,901739,919017,"-1.898",149,31,0,100,59
2015/05/19,14:43:30,901526,918647,"-1.881",149,31,0,100,1269
2015/05/19,14:44:00,901456,918604,"-1.884",149,31,0,100,-235
2015/05/19,14:44:30,901341,918441,"-1.879",149,31,0,100,380
2015/05/19,14:45:00,901221,918332,"-1.881",149,31,0,100,-110
2015/05/19,14:45:30,901027,918137,"-1.881",149,31,0,100,-22
2015/05/19,14:46:00,900844,917922,"-1.878",149,32,0,100,237
2015/05/19,14:46:30,900694,917802,"-1.882",149,32,0,100,-273
2015/05/19,14:47:00,900666,917823,"-1.887",149,32,0,100,-411
2015/05/19,14:47:30,900452,917619,"-1.889",149,32,0,100,-117
