"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,,,Montana Sampling
Device ID = AE51-S5-803-1309,,,,,,,,,Pair 3 - outside
Application version = 2.2.4.0,,,,,,,,,6:12pm
Flow = 149 ml/min,,,,,,,,,6:42 pm stop
Timebase = 30 s,,,,,,,,,
Start date = 2015/05/19,,,,,,,,,
Start time = 18:13:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/19/15,18:13:00,809099,881733,-8.597,149,27,0,78,
5/19/15,18:13:30,809115,881701,-8.591,149,27,0,78,427
5/19/15,18:14:00,809106,881622,-8.583,149,27,0,78,598
5/19/15,18:14:30,809141,881579,-8.574,149,27,0,77,702
5/19/15,18:15:00,809123,881483,-8.565,149,27,0,77,661
5/19/15,18:15:30,809100,881383,-8.557,149,27,0,77,648
5/19/15,18:16:00,809140,881337,-8.547,149,27,0,77,775
5/19/15,18:16:30,809151,881274,-8.538,149,27,0,77,649
5/19/15,18:17:00,809166,881211,-8.529,148,27,0,77,691
5/19/15,18:17:30,809190,881176,-8.522,149,27,0,77,529
5/19/15,18:18:00,809244,881173,-8.515,149,27,0,77,535
5/19/15,18:18:30,809286,881162,-8.509,149,27,0,77,491
5/19/15,18:19:00,809290,881104,-8.502,149,27,0,77,540
5/19/15,18:19:30,809300,881048,-8.494,149,27,0,76,579
5/19/15,18:20:00,809304,880988,-8.487,149,27,0,76,557
5/19/15,18:20:30,809342,880966,-8.48,149,27,0,74,548
5/19/15,18:21:00,809367,880906,-8.47,149,27,0,74,755
5/19/15,18:21:30,809337,880791,-8.46,149,27,0,73,713
5/19/15,18:22:00,809339,880705,-8.45,149,27,0,73,763
5/19/15,18:22:30,809346,880626,-8.441,149,27,0,73,750
5/19/15,18:23:00,809382,880576,-8.431,149,27,0,73,772
5/19/15,18:23:30,809424,880551,-8.422,149,27,0,73,612
5/19/15,18:24:00,809402,880470,-8.416,149,27,0,73,494
5/19/15,18:24:30,809425,880399,-8.405,149,27,0,73,831
5/19/15,18:25:00,809402,880309,-8.398,149,26,0,73,563
5/19/15,18:25:30,809469,880304,-8.389,149,26,0,73,674
5/19/15,18:26:00,809450,880222,-8.382,149,26,0,73,531
5/19/15,18:26:30,809512,880216,-8.374,148,26,0,73,640
5/19/15,18:27:00,809483,880110,-8.365,149,26,0,72,645
5/19/15,18:27:30,809506,880064,-8.357,149,26,0,72,615
5/19/15,18:28:00,809566,880054,-8.348,149,26,0,72,652
5/19/15,18:28:30,809548,879961,-8.34,149,26,0,72,636
5/19/15,18:29:00,809566,879922,-8.333,149,26,0,72,507
5/19/15,18:29:30,809573,879874,-8.327,149,26,0,72,482
5/19/15,18:30:00,809563,879791,-8.319,149,26,0,72,625
5/19/15,18:30:30,809561,879743,-8.314,149,26,0,72,397
5/19/15,18:31:00,809614,879747,-8.308,149,26,0,72,464
5/19/15,18:31:30,809624,879686,-8.3,149,26,0,72,623
5/19/15,18:32:00,809608,879571,-8.288,149,26,0,71,846
5/19/15,18:32:30,809608,879511,-8.282,149,26,0,71,520
5/19/15,18:33:00,809631,879484,-8.276,149,26,0,71,451
5/19/15,18:33:30,809635,879424,-8.268,149,26,0,74,558
5/19/15,18:34:00,809657,879376,-8.26,149,26,0,74,623
5/19/15,18:34:30,809682,879349,-8.254,149,26,0,73,470
5/19/15,18:35:00,809712,879336,-8.249,149,26,0,73,395
5/19/15,18:35:30,809736,879309,-8.243,149,26,0,73,460
5/19/15,18:36:00,809754,879269,-8.236,149,26,0,73,516
5/19/15,18:36:30,809735,879181,-8.228,149,26,0,73,584
5/19/15,18:37:00,809749,879139,-8.222,149,26,0,73,496
5/19/15,18:37:30,809786,879117,-8.215,149,26,0,73,539
5/19/15,18:38:00,809785,879068,-8.209,149,26,0,73,416
5/19/15,18:38:30,809805,879035,-8.203,149,26,0,73,475
5/19/15,18:39:00,809776,878938,-8.196,149,26,0,73,568
5/19/15,18:39:30,809783,878885,-8.189,149,26,0,73,526
5/19/15,18:40:00,809773,878818,-8.182,149,26,0,72,487
5/19/15,18:40:30,809789,878791,-8.177,149,26,0,72,385
5/19/15,18:41:00,809809,878767,-8.172,149,26,0,72,397
5/19/15,18:41:30,809792,878702,-8.167,149,26,0,72,404
5/19/15,18:42:00,809787,878658,-8.162,149,26,0,72,335
