"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,Cortona Sampling,,
Device ID = AE51-S5-803-1309,,,,,,,Pair 3 - inside,,
Application version = 2.2.4.0,,,,,,,3:17pm start,,
Flow = 149 ml/min,,,,,,,3:49pm stop,,
Timebase = 30 s,,,,,,,,,
Start date = 2015/05/19,,,,,,,,,
Start time = 15:18:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/19/15,15:18:00,806669,889939,-9.824,149,26,0,84,
5/19/15,15:18:30,809924,893429,-9.813,149,26,0,84,862
5/19/15,15:19:00,809881,893333,-9.807,149,26,0,84,414
5/19/15,15:19:30,809931,893336,-9.801,149,26,0,83,445
5/19/15,15:20:00,809886,893235,-9.796,149,26,0,83,438
5/19/15,15:20:30,809876,893169,-9.789,149,26,0,83,469
5/19/15,15:21:00,809889,893134,-9.784,149,26,0,83,421
5/19/15,15:21:30,809917,893117,-9.779,149,26,0,83,409
5/19/15,15:22:00,809884,893030,-9.773,149,26,0,83,432
5/19/15,15:22:30,809897,892999,-9.768,149,26,0,83,387
5/19/15,15:23:00,809925,892976,-9.762,148,26,0,83,463
5/19/15,15:23:30,809912,892901,-9.755,149,26,0,83,518
5/19/15,15:24:00,809968,892869,-9.745,149,26,0,83,800
5/19/15,15:24:30,809957,892750,-9.733,149,26,0,82,913
5/19/15,15:25:00,809969,892690,-9.724,149,26,0,82,625
5/19/15,15:25:30,809920,892577,-9.718,149,26,0,82,504
5/19/15,15:26:00,809979,892569,-9.71,149,26,0,82,624
5/19/15,15:26:30,809964,892488,-9.702,149,26,0,82,551
5/19/15,15:27:00,809970,892435,-9.696,149,26,0,82,509
5/19/15,15:27:30,809874,892270,-9.689,149,26,0,82,506
5/19/15,15:28:00,809966,892314,-9.683,150,26,0,82,487
5/19/15,15:28:30,809960,892242,-9.675,149,26,0,82,559
5/19/15,15:29:00,809956,892181,-9.669,149,26,0,82,484
5/19/15,15:29:30,809963,892141,-9.664,149,26,0,81,408
5/19/15,15:30:00,809959,892081,-9.657,149,26,0,84,475
5/19/15,15:30:30,809955,892006,-9.649,149,26,0,84,603
5/19/15,15:31:00,809949,891947,-9.644,149,26,0,84,448
5/19/15,15:31:30,809946,891896,-9.638,149,26,0,84,408
5/19/15,15:32:00,809912,891801,-9.632,149,26,0,84,492
5/19/15,15:32:30,809941,891787,-9.627,149,26,0,83,393
5/19/15,15:33:00,809955,891755,-9.621,149,26,0,83,405
5/19/15,15:33:30,809966,891720,-9.616,149,26,0,83,403
5/19/15,15:34:00,809956,891653,-9.61,149,26,0,83,479
5/19/15,15:34:30,809963,891609,-9.604,149,26,0,83,442
5/19/15,15:35:00,809999,891595,-9.598,149,26,0,83,459
5/19/15,15:35:30,810007,891557,-9.593,149,26,0,83,400
5/19/15,15:36:00,810000,891497,-9.587,149,26,0,83,447
5/19/15,15:36:30,809927,891363,-9.581,149,26,0,83,459
5/19/15,15:37:00,809911,891287,-9.574,149,26,0,83,499
5/19/15,15:37:30,809946,891266,-9.568,149,26,0,82,509
5/19/15,15:38:00,809924,891192,-9.562,149,26,0,82,426
5/19/15,15:38:30,809956,891180,-9.557,149,26,0,82,404
5/19/15,15:39:00,809950,891117,-9.55,149,26,0,82,483
5/19/15,15:39:30,809930,891038,-9.544,148,26,0,82,491
5/19/15,15:40:00,809967,890990,-9.534,149,26,0,82,759
5/19/15,15:40:30,809952,890813,-9.516,149,26,0,82,1374
5/19/15,15:41:00,809959,890712,-9.504,149,26,0,82,930
5/19/15,15:41:30,809961,890613,-9.492,149,26,0,82,866
5/19/15,15:42:00,809916,890491,-9.484,149,26,0,82,621
5/19/15,15:42:30,809958,890465,-9.476,149,26,0,81,618
5/19/15,15:43:00,809922,890364,-9.469,149,26,0,84,526
5/19/15,15:43:30,809938,890326,-9.463,150,26,0,84,473
5/19/15,15:44:00,809999,890351,-9.458,149,26,0,84,360
5/19/15,15:44:30,809959,890246,-9.451,149,26,0,84,523
5/19/15,15:45:00,809929,890150,-9.444,149,26,0,84,540
5/19/15,15:45:30,809941,890093,-9.436,149,26,0,83,601
5/19/15,15:46:00,809922,890025,-9.431,149,26,0,83,404
5/19/15,15:46:30,809923,889978,-9.426,149,26,0,83,412
5/19/15,15:47:00,809861,889853,-9.419,149,26,0,83,487
5/19/15,15:47:30,809893,889839,-9.414,149,26,0,83,421
5/19/15,15:48:00,809868,889755,-9.407,149,26,0,83,484
5/19/15,15:48:30,809902,889738,-9.401,149,26,0,83,466
5/19/15,15:49:00,809917,889696,-9.395,149,26,0,83,501
5/19/15,15:49:30,809889,889603,-9.388,149,26,0,83,533
