"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,,,Montana Sampling
Device ID = AE51-S5-803-1309,,,,,,,,,Pair 4 - inside
Application version = 2.2.4.0,,,,,,,,,7:16pm
Flow = 149 ml/min,,,,,,,,,7:47pm
Timebase = 30 s,,,,,,,,,
Start date = 2015/05/19,,,,,,,,,
Start time = 19:17:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/19/15,19:17:00,798087,861549,-7.651,149,27,0,68,
5/19/15,19:17:30,809129,873377,-7.641,149,27,0,68,803
5/19/15,19:18:00,809092,873273,-7.634,149,27,0,68,559
5/19/15,19:18:30,809169,873268,-7.623,149,27,0,68,769
5/19/15,19:19:00,809086,873107,-7.615,149,27,0,68,624
5/19/15,19:19:30,809082,873031,-7.607,149,27,0,68,626
5/19/15,19:20:00,809109,872996,-7.6,149,27,0,68,560
5/19/15,19:20:30,809155,872985,-7.593,149,27,0,68,530
5/19/15,19:21:00,809102,872878,-7.587,149,27,0,68,435
5/19/15,19:21:30,809110,872823,-7.58,149,27,0,67,556
5/19/15,19:22:00,809153,872810,-7.573,149,27,0,67,519
5/19/15,19:22:30,809100,872689,-7.566,149,27,0,67,558
5/19/15,19:23:00,809134,872674,-7.56,149,27,0,67,451
5/19/15,19:23:30,809140,872619,-7.553,149,27,0,67,537
5/19/15,19:24:00,809108,872524,-7.546,149,27,0,67,529
5/19/15,19:24:30,809127,872493,-7.54,149,27,0,67,450
5/19/15,19:25:00,809115,872424,-7.533,149,27,0,67,490
5/19/15,19:25:30,809107,872368,-7.528,149,27,0,67,414
5/19/15,19:26:00,809065,872267,-7.522,149,27,0,67,487
5/19/15,19:26:30,809131,872281,-7.515,149,27,0,66,500
5/19/15,19:27:00,809092,872183,-7.509,149,27,0,66,489
5/19/15,19:27:30,809079,872111,-7.502,149,27,0,66,507
5/19/15,19:28:00,809068,872045,-7.496,149,27,0,66,473
5/19/15,19:28:30,809019,871937,-7.489,149,27,0,69,483
5/19/15,19:29:00,809056,871926,-7.484,149,27,0,69,445
5/19/15,19:29:30,809015,871825,-7.477,149,27,0,68,497
5/19/15,19:30:00,809021,871767,-7.47,149,27,0,68,564
5/19/15,19:30:30,809029,871723,-7.464,149,27,0,68,460
5/19/15,19:31:00,809031,871670,-7.457,149,27,0,68,482
5/19/15,19:31:30,808998,871579,-7.451,149,27,0,68,485
5/19/15,19:32:00,809038,871568,-7.445,149,27,0,68,473
5/19/15,19:32:30,808955,871405,-7.436,149,27,0,68,644
5/19/15,19:33:00,809000,871393,-7.429,149,27,0,68,529
5/19/15,19:33:30,808999,871343,-7.424,149,27,0,68,428
5/19/15,19:34:00,809006,871287,-7.417,149,27,0,68,556
5/19/15,19:34:30,808990,871213,-7.41,149,27,0,67,497
5/19/15,19:35:00,808976,871141,-7.403,149,27,0,67,498
5/19/15,19:35:30,808964,871074,-7.397,149,27,0,67,473
5/19/15,19:36:00,809013,871063,-7.39,149,27,0,67,558
5/19/15,19:36:30,809000,871001,-7.384,149,27,0,67,420
5/19/15,19:37:00,808982,870931,-7.379,149,27,0,67,443
5/19/15,19:37:30,808990,870905,-7.375,149,27,0,67,303
5/19/15,19:38:00,808979,870835,-7.368,149,27,0,67,509
5/19/15,19:38:30,809002,870826,-7.364,149,27,0,67,296
5/19/15,19:39:00,809003,870772,-7.358,149,27,0,67,482
5/19/15,19:39:30,809021,870742,-7.352,149,27,0,66,432
5/19/15,19:40:00,808971,870621,-7.344,149,27,0,66,588
5/19/15,19:40:30,808924,870510,-7.337,149,27,0,66,529
5/19/15,19:41:00,808988,870514,-7.33,149,27,0,66,568
5/19/15,19:41:30,808974,870428,-7.322,149,27,0,69,621
5/19/15,19:42:00,808945,870310,-7.312,149,27,0,68,760
5/19/15,19:42:30,808970,870257,-7.303,149,27,0,68,700
5/19/15,19:43:00,809000,870225,-7.295,149,27,0,68,563
5/19/15,19:43:30,808949,870103,-7.288,149,27,0,68,588
5/19/15,19:44:00,808901,869997,-7.281,149,27,0,68,476
5/19/15,19:44:30,808922,869799,-7.256,149,27,0,68,1933
5/19/15,19:45:00,808933,869621,-7.234,149,27,0,68,1664
5/19/15,19:45:30,808944,869494,-7.218,149,27,0,68,1217
5/19/15,19:46:00,808932,869373,-7.206,149,27,0,68,948
5/19/15,19:46:30,808923,869272,-7.195,149,27,0,68,801
5/19/15,19:47:00,808938,869207,-7.186,149,27,0,68,711
5/19/15,19:47:30,808870,869045,-7.176,149,27,0,67,780
