"Delimiter = ,",,,,,,,,,
AethLabs,,,,,,,,,
Device ID = AE51-S5-803-1309,,,,,,,,,Cortona Café
Application version = 2.2.3.0,,,,,,,,,Pair 2 sampling - inside
Flow = 149 ml/min,,,,,,,,,1:07pm start
Timebase = 30 s,,,,,,,,,1:31pm stop
Start date = 2015/05/16,,,,,,,,,
Start time = 13:06:00,,,,,,,,,
Original date format = yyyy/MM/dd,,,,,,,,,
Original time format = hh:mm:ss,,,,,,,,,
Flow units = ml/min,,,,,,,,,
PCB temp units = deg C,,,,,,,,,
Battery units = %,,,,,,,,,
BC units = ng/m^3,,,,,,,,,
,,,,,,,,,
Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
,,,,,,,,,
5/16/15,13:06:00,794645,856301,-7.473,149,26,0,92,
5/16/15,13:06:30,797875,859783,-7.473,149,26,0,92,-12
5/16/15,13:07:00,797863,859740,-7.469,149,26,0,92,267
5/16/15,13:07:30,797852,859666,-7.462,149,26,0,92,551
5/16/15,13:08:00,797795,859566,-7.458,149,26,0,92,342
5/16/15,13:08:30,797793,859517,-7.452,149,26,0,92,416
5/16/15,13:09:00,797776,859437,-7.445,149,26,0,92,547
5/16/15,13:09:30,797765,859381,-7.44,149,26,0,94,392
5/16/15,13:10:00,797765,859317,-7.432,149,26,0,94,568
5/16/15,13:10:30,797794,859349,-7.432,149,26,0,94,-7
5/16/15,13:11:00,797734,859204,-7.423,149,26,0,94,713
5/16/15,13:11:30,797716,859146,-7.419,149,26,0,94,343
5/16/15,13:12:00,797741,859105,-7.411,149,26,0,94,603
5/16/15,13:12:30,797732,859012,-7.401,149,26,0,94,739
5/16/15,13:13:00,797827,859119,-7.402,149,26,0,93,-42
5/16/15,13:13:30,797845,859106,-7.398,149,26,0,93,287
5/16/15,13:14:00,797845,859069,-7.393,149,26,0,93,328
5/16/15,13:14:30,797911,859106,-7.39,149,26,0,93,302
5/16/15,13:15:00,797920,859056,-7.383,149,26,0,93,530
5/16/15,13:15:30,797927,859015,-7.377,149,26,0,93,431
5/16/15,13:16:00,797883,858920,-7.371,149,26,0,93,423
5/16/15,13:16:30,797913,858896,-7.365,149,26,0,93,500
5/16/15,13:17:00,797957,858873,-7.357,149,26,0,93,625
5/16/15,13:17:30,797941,858777,-7.347,149,26,0,93,699
5/16/15,13:18:00,797970,858735,-7.339,149,26,0,92,650
5/16/15,13:18:30,797996,858705,-7.332,149,26,0,92,515
5/16/15,13:19:00,798013,858672,-7.326,149,26,0,92,455
5/16/15,13:19:30,798007,858620,-7.321,149,25,0,92,404
5/16/15,13:20:00,798035,858602,-7.315,149,25,0,92,427
5/16/15,13:20:30,798020,858530,-7.309,149,25,0,92,496
5/16/15,13:21:00,798039,858515,-7.305,149,25,0,92,315
5/16/15,13:21:30,798009,858406,-7.296,149,25,0,92,681
5/16/15,13:22:00,798035,858399,-7.292,149,25,0,92,311
5/16/15,13:22:30,798058,858375,-7.286,149,25,0,94,433
5/16/15,13:23:00,798035,858309,-7.281,149,25,0,94,367
5/16/15,13:23:30,798025,858261,-7.277,149,25,0,94,331
5/16/15,13:24:00,798046,858211,-7.268,149,25,0,94,645
5/16/15,13:24:30,798009,858148,-7.266,149,25,0,94,206
5/16/15,13:25:00,798027,858118,-7.26,149,25,0,94,439
5/16/15,13:25:30,798049,858126,-7.258,149,26,0,94,139
5/16/15,13:26:00,798020,858045,-7.252,149,25,0,93,443
5/16/15,13:26:30,797978,857951,-7.247,149,26,0,93,434
5/16/15,13:27:00,798032,857949,-7.24,149,25,0,93,534
5/16/15,13:27:30,797953,857807,-7.233,149,25,0,93,507
5/16/15,13:28:00,798021,857820,-7.226,149,25,0,93,534
5/16/15,13:28:30,798056,857822,-7.222,149,26,0,93,317
5/16/15,13:29:00,798030,857748,-7.216,149,26,0,93,409
5/16/15,13:29:30,798057,857754,-7.214,149,26,0,93,205
5/16/15,13:30:00,798063,857720,-7.209,149,26,0,93,360
5/16/15,13:30:30,797988,857595,-7.204,149,26,0,93,395
5/16/15,13:31:00,798014,857586,-7.2,149,26,0,93,328
