"","site","outdoor","N","Min","Median","Mean","Max","SD"
"1","Cortona",FALSE,80004,47.157386,70.9607125,69.6584442038148,99.133991,5.79112718568514
"2","Cortona",TRUE,80004,48.027078,70.525077,69.9427899727264,98.402446,6.73884714431159
"3","Montana",FALSE,80004,68.425697,88.0244205,87.9185463718564,102.660578,4.59143156037308
"4","Montana",TRUE,80004,65.371703,80.92875,81.1395344446528,103.342771,5.66897901856239
"5","Siff",FALSE,66536,56.317307,67.6841085,68.1641090153,91.683983,4.71661416605797
"6","Siff",TRUE,78945,51.95894,65.858043,66.6903198479701,92.573954,5.23060241498952
